Абзац,Позитивный вопрос
"7.1.3 Модуль SM101 с полевым адаптером TAU02

Технические характеристики модуля SM101 с  полевым  адаптером TAU02 представлены в таблице 2 7 . Структурная схема SM101 с полевым адаптером TAU02 представлена на рисунке 1 5.

2

Измерительный канал включают в себя следующие элементы:

- -встроенное термосопротивление Pt -100 (в составе модуля);
- -цепи первичной обработки сигналов (в составе модуля);
- -АЦП (в составе модуля);
- -цепи гальванической изоляции (в составе модуля);
- -микроконтроллер (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT20 ;
- -полевой адаптер TAU02 .

Таблица 2 7 -Технические характеристики модуля SM101 с TAU02

| Наименование параметра                                                                                                                   | Значение                                                              |
|------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------|
| Количество каналов                                                                                                                       | - 3 аналоговых входных - 6 дискретных входных - 3 дискретных выходных |
| Канал преобразования сигналов термопар и термосопротивлений                                                                              | Канал преобразования сигналов термопар и термосопротивлений           |
| Типы поддерживаемых преобразователей сопротивления                                                                                       | Pt- 100 (α=0,00385)                                                   |
| Разрядность АЦП (включая знаковый бит), бит                                                                                              | 16                                                                    |
| Диапазоны поддерживаемых преобразователей сопротивления, о С                                                                             | От - 30 до +70                                                        |
| Время преобразования на канал, мс                                                                                                        | 105                                                                   |
| Каналы входных дискретных сигналов                                                                                                       | Каналы входных дискретных сигналов                                    |
| Номинальное напряжение постоянного тока канала, В                                                                                        | 24                                                                    |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0»                                                  | От 15 до 24 От 0 до 9                                                 |
| Допустимое входное напряжение постоянного тока канала, В                                                                                 | 50                                                                    |
| Входной ток при сигнале «1», мА, не более                                                                                                | 3                                                                     |
| Время запаздывания, мс, не более                                                                                                         |                                                                       |
| - с «0» на «1» - с «1» на «0»                                                                                                            | 2 2                                                                   |
| Максимальный ток нагрузки, мА                                                                                                            |                                                                       |
| Каналы выходных дискретных сигналов                                                                                                      | Каналы выходных дискретных сигналов                                   |
| Тип выходных каналов                                                                                                                     | « Открытый коллектор»                                                 |
|                                                                                                                                          | 100                                                                   |
| Время запаздывания для резистивной нагрузки, мс, не более                                                                                |                                                                       |
| - с «0» на «1»                                                                                                                           | 2                                                                     |
| - с «1» на «0»                                                                                                                           | 2                                                                     |
| Общие характеристики каналов преобразования                                                                                              | Общие характеристики каналов преобразования                           |
| Опрос каналов                                                                                                                            | Параллельный                                                          |
| Напряжение пробоя изоляции (гальваническая изоляция), В, не менее: - между каналами - между каналами и внутренней шиной питания и данных | 1500 1500                                                             |
| - между каналами и вводом питания                                                                                                        | 3000                                                                  |
| Защита от обратной полярности                                                                                                            | Да                                                                    |
| Пределы допускаемой основной приведённой погрешности преобразования силы постоянного тока (в номинальных диапазонах), о С                | 0,15                                                                  |

2",Какие характеристики имеют входные дискретные сигналы в модуле SM101 с полевым адаптером TAU02?
"8.1.3 Модуль счета импульсов FM101 с полевым адаптером TAF13

Группа модулей предназначена для ввода сигналов от трех датчиков частоты (к полевому адаптеру TAF13 подключается три модуля FM101) и выдачи защитного сигнала по превышению частотой заданной уставки, формируемого по логике «2 из 3 -х». Формирование выходного сигнала «2 из 3 -х» происходит в полевом адаптере TAF13. Каждый модуль FM101 работает независимо и независимо от других формирует свою команду на выдачу защитного сигнала.

Технические  характеристики  модуля  FM101 с  полевым  адаптером  TAF13 представлены  в таблице 30. Структурная схема FM101 с полевым адаптером TAF13 представлена на рисунке 1 8.

Каждый из трёх каналов счета импульсов включает в себя следующие элементы:

- -блок предварительной подготовки сигнала (в составе модуля);
- -два микроконтроллера (в составе модуля);
- -элементы гальванической изоляции (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT10 ;
- -полевой адаптер TAF 13 (один общий ПА на три канала ввода сигналов).

Таблица 30 -Технические характеристики модулей FM101 с TAF13

| Наименование параметра                                                                  | Значение                                                                                                        |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Количество каналов                                                                      | 3 счета импульсов 3 дискретных входа 2 дискретных выхода (защита) 7 дискретных выходов (контроль)               |
| Каналы счета импульсов                                                                  | Каналы счета импульсов                                                                                          |
| Диапазон измерений частоты, об/мин                                                      | 2 - 10000                                                                                                       |
| Возможность автономной работы модуля без центрального процессора                        | Да                                                                                                              |
| Номинальное напряжение входа счета импульсов, В                                         | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Погрешность измерения частоты,%                                                         | 0, 003                                                                                                          |
| Входное сопротивление, МОм, не менее                                                    | 10                                                                                                              |
| Время обработки входящей частоты, мс                                                    | В зависимости от настроек модуля. Для настроек по умолчанию: 20 мс (скользящее среднее на 4 интервалах по 5 мс) |
| Дискретные входы                                                                        | Дискретные входы                                                                                                |
| Номинальное значение напряжения постоянного тока, В                                     | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0» | От 10 до 24 От 0 до 5                                                                                           |
| Входной ток при сигнале «1», мА не более                                                | 3                                                                                                               |
| Время запаздывания, мс, не более - с «0» на «1» - с «1» на «0»                          | 1 1                                                                                                             |

2          56",Какое количество каналов счета импульсов поддерживает модуль FM101 с полевым адаптером TAF13?
"8.1.3 Модуль счета импульсов FM101 с полевым адаптером TAF13

Группа модулей предназначена для ввода сигналов от трех датчиков частоты (к полевому адаптеру TAF13 подключается три модуля FM101) и выдачи защитного сигнала по превышению частотой заданной уставки, формируемого по логике «2 из 3 -х». Формирование выходного сигнала «2 из 3 -х» происходит в полевом адаптере TAF13. Каждый модуль FM101 работает независимо и независимо от других формирует свою команду на выдачу защитного сигнала.

Технические  характеристики  модуля  FM101 с  полевым  адаптером  TAF13 представлены  в таблице 30. Структурная схема FM101 с полевым адаптером TAF13 представлена на рисунке 1 8.

Каждый из трёх каналов счета импульсов включает в себя следующие элементы:

- -блок предварительной подготовки сигнала (в составе модуля);
- -два микроконтроллера (в составе модуля);
- -элементы гальванической изоляции (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT10 ;
- -полевой адаптер TAF 13 (один общий ПА на три канала ввода сигналов).

Таблица 30 -Технические характеристики модулей FM101 с TAF13

| Наименование параметра                                                                  | Значение                                                                                                        |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Количество каналов                                                                      | 3 счета импульсов 3 дискретных входа 2 дискретных выхода (защита) 7 дискретных выходов (контроль)               |
| Каналы счета импульсов                                                                  | Каналы счета импульсов                                                                                          |
| Диапазон измерений частоты, об/мин                                                      | 2 - 10000                                                                                                       |
| Возможность автономной работы модуля без центрального процессора                        | Да                                                                                                              |
| Номинальное напряжение входа счета импульсов, В                                         | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Погрешность измерения частоты,%                                                         | 0, 003                                                                                                          |
| Входное сопротивление, МОм, не менее                                                    | 10                                                                                                              |
| Время обработки входящей частоты, мс                                                    | В зависимости от настроек модуля. Для настроек по умолчанию: 20 мс (скользящее среднее на 4 интервалах по 5 мс) |
| Дискретные входы                                                                        | Дискретные входы                                                                                                |
| Номинальное значение напряжения постоянного тока, В                                     | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0» | От 10 до 24 От 0 до 5                                                                                           |
| Входной ток при сигнале «1», мА не более                                                | 3                                                                                                               |
| Время запаздывания, мс, не более - с «0» на «1» - с «1» на «0»                          | 1 1                                                                                                             |

2          56",Определите диапазон измерений частоты в оборотах в минуту для каждого канала модуля FM101.
"8.1.3 Модуль счета импульсов FM101 с полевым адаптером TAF13

Группа модулей предназначена для ввода сигналов от трех датчиков частоты (к полевому адаптеру TAF13 подключается три модуля FM101) и выдачи защитного сигнала по превышению частотой заданной уставки, формируемого по логике «2 из 3 -х». Формирование выходного сигнала «2 из 3 -х» происходит в полевом адаптере TAF13. Каждый модуль FM101 работает независимо и независимо от других формирует свою команду на выдачу защитного сигнала.

Технические  характеристики  модуля  FM101 с  полевым  адаптером  TAF13 представлены  в таблице 30. Структурная схема FM101 с полевым адаптером TAF13 представлена на рисунке 1 8.

Каждый из трёх каналов счета импульсов включает в себя следующие элементы:

- -блок предварительной подготовки сигнала (в составе модуля);
- -два микроконтроллера (в составе модуля);
- -элементы гальванической изоляции (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT10 ;
- -полевой адаптер TAF 13 (один общий ПА на три канала ввода сигналов).

Таблица 30 -Технические характеристики модулей FM101 с TAF13

| Наименование параметра                                                                  | Значение                                                                                                        |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Количество каналов                                                                      | 3 счета импульсов 3 дискретных входа 2 дискретных выхода (защита) 7 дискретных выходов (контроль)               |
| Каналы счета импульсов                                                                  | Каналы счета импульсов                                                                                          |
| Диапазон измерений частоты, об/мин                                                      | 2 - 10000                                                                                                       |
| Возможность автономной работы модуля без центрального процессора                        | Да                                                                                                              |
| Номинальное напряжение входа счета импульсов, В                                         | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Погрешность измерения частоты,%                                                         | 0, 003                                                                                                          |
| Входное сопротивление, МОм, не менее                                                    | 10                                                                                                              |
| Время обработки входящей частоты, мс                                                    | В зависимости от настроек модуля. Для настроек по умолчанию: 20 мс (скользящее среднее на 4 интервалах по 5 мс) |
| Дискретные входы                                                                        | Дискретные входы                                                                                                |
| Номинальное значение напряжения постоянного тока, В                                     | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0» | От 10 до 24 От 0 до 5                                                                                           |
| Входной ток при сигнале «1», мА не более                                                | 3                                                                                                               |
| Время запаздывания, мс, не более - с «0» на «1» - с «1» на «0»                          | 1 1                                                                                                             |

2          56","Каким образом формируется выходной защитный сигнал в системе, использующей модуль FM101 с TAF13?"
"8.1.3 Модуль счета импульсов FM101 с полевым адаптером TAF13

Группа модулей предназначена для ввода сигналов от трех датчиков частоты (к полевому адаптеру TAF13 подключается три модуля FM101) и выдачи защитного сигнала по превышению частотой заданной уставки, формируемого по логике «2 из 3 -х». Формирование выходного сигнала «2 из 3 -х» происходит в полевом адаптере TAF13. Каждый модуль FM101 работает независимо и независимо от других формирует свою команду на выдачу защитного сигнала.

Технические  характеристики  модуля  FM101 с  полевым  адаптером  TAF13 представлены  в таблице 30. Структурная схема FM101 с полевым адаптером TAF13 представлена на рисунке 1 8.

Каждый из трёх каналов счета импульсов включает в себя следующие элементы:

- -блок предварительной подготовки сигнала (в составе модуля);
- -два микроконтроллера (в составе модуля);
- -элементы гальванической изоляции (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT10 ;
- -полевой адаптер TAF 13 (один общий ПА на три канала ввода сигналов).

Таблица 30 -Технические характеристики модулей FM101 с TAF13

| Наименование параметра                                                                  | Значение                                                                                                        |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Количество каналов                                                                      | 3 счета импульсов 3 дискретных входа 2 дискретных выхода (защита) 7 дискретных выходов (контроль)               |
| Каналы счета импульсов                                                                  | Каналы счета импульсов                                                                                          |
| Диапазон измерений частоты, об/мин                                                      | 2 - 10000                                                                                                       |
| Возможность автономной работы модуля без центрального процессора                        | Да                                                                                                              |
| Номинальное напряжение входа счета импульсов, В                                         | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Погрешность измерения частоты,%                                                         | 0, 003                                                                                                          |
| Входное сопротивление, МОм, не менее                                                    | 10                                                                                                              |
| Время обработки входящей частоты, мс                                                    | В зависимости от настроек модуля. Для настроек по умолчанию: 20 мс (скользящее среднее на 4 интервалах по 5 мс) |
| Дискретные входы                                                                        | Дискретные входы                                                                                                |
| Номинальное значение напряжения постоянного тока, В                                     | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0» | От 10 до 24 От 0 до 5                                                                                           |
| Входной ток при сигнале «1», мА не более                                                | 3                                                                                                               |
| Время запаздывания, мс, не более - с «0» на «1» - с «1» на «0»                          | 1 1                                                                                                             |

2          56","Какое минимальное входное сопротивление, выраженное в МОм, обеспечивает каждый канал модуля FM101?"
"8.1.3 Модуль счета импульсов FM101 с полевым адаптером TAF13

Группа модулей предназначена для ввода сигналов от трех датчиков частоты (к полевому адаптеру TAF13 подключается три модуля FM101) и выдачи защитного сигнала по превышению частотой заданной уставки, формируемого по логике «2 из 3 -х». Формирование выходного сигнала «2 из 3 -х» происходит в полевом адаптере TAF13. Каждый модуль FM101 работает независимо и независимо от других формирует свою команду на выдачу защитного сигнала.

Технические  характеристики  модуля  FM101 с  полевым  адаптером  TAF13 представлены  в таблице 30. Структурная схема FM101 с полевым адаптером TAF13 представлена на рисунке 1 8.

Каждый из трёх каналов счета импульсов включает в себя следующие элементы:

- -блок предварительной подготовки сигнала (в составе модуля);
- -два микроконтроллера (в составе модуля);
- -элементы гальванической изоляции (в составе модуля);
- -ПЛИС (в составе модуля);
- -кабель CBT10 ;
- -полевой адаптер TAF 13 (один общий ПА на три канала ввода сигналов).

Таблица 30 -Технические характеристики модулей FM101 с TAF13

| Наименование параметра                                                                  | Значение                                                                                                        |
|-----------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------|
| Количество каналов                                                                      | 3 счета импульсов 3 дискретных входа 2 дискретных выхода (защита) 7 дискретных выходов (контроль)               |
| Каналы счета импульсов                                                                  | Каналы счета импульсов                                                                                          |
| Диапазон измерений частоты, об/мин                                                      | 2 - 10000                                                                                                       |
| Возможность автономной работы модуля без центрального процессора                        | Да                                                                                                              |
| Номинальное напряжение входа счета импульсов, В                                         | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Погрешность измерения частоты,%                                                         | 0, 003                                                                                                          |
| Входное сопротивление, МОм, не менее                                                    | 10                                                                                                              |
| Время обработки входящей частоты, мс                                                    | В зависимости от настроек модуля. Для настроек по умолчанию: 20 мс (скользящее среднее на 4 интервалах по 5 мс) |
| Дискретные входы                                                                        | Дискретные входы                                                                                                |
| Номинальное значение напряжения постоянного тока, В                                     | 24                                                                                                              |
| Допустимое входное напряжение, В                                                        | 30                                                                                                              |
| Напряжение детектирования сигнала, В - уровень логической «1» - уровень логического «0» | От 10 до 24 От 0 до 5                                                                                           |
| Входной ток при сигнале «1», мА не более                                                | 3                                                                                                               |
| Время запаздывания, мс, не более - с «0» на «1» - с «1» на «0»                          | 1 1                                                                                                             |

2          56","При каком входном напряжении, в вольтах, модуль FM101 может работать автономно без центрального процессора?"
"5.5.6.1 Размещение и монтаж шкафов контроллеров

Размещение шкафов контроллеров на месте эксплуатации, монтаж и пробное включение  электропитания  выполнять  в  соответствии  с  документами -АДИГ.421457.004  РЭ, АДИГ.421457.016 РЭ, АДИГ.421457.012 РЭ.",Какие документы необходимо соблюдать при размещении и монтаже шкафов контроллеров?
"5.5.6.1 Размещение и монтаж шкафов контроллеров

Размещение шкафов контроллеров на месте эксплуатации, монтаж и пробное включение  электропитания  выполнять  в  соответствии  с  документами -АДИГ.421457.004  РЭ, АДИГ.421457.016 РЭ, АДИГ.421457.012 РЭ.",Какие стандарты нужно учитывать для монтажа и пробного включения электропитания?
"5.5.6.1 Размещение и монтаж шкафов контроллеров

Размещение шкафов контроллеров на месте эксплуатации, монтаж и пробное включение  электропитания  выполнять  в  соответствии  с  документами -АДИГ.421457.004  РЭ, АДИГ.421457.016 РЭ, АДИГ.421457.012 РЭ.",Какие требования необходимо выполнить для электропитания при размещении шкафов?
"5.5.6.1 Размещение и монтаж шкафов контроллеров

Размещение шкафов контроллеров на месте эксплуатации, монтаж и пробное включение  электропитания  выполнять  в  соответствии  с  документами -АДИГ.421457.004  РЭ, АДИГ.421457.016 РЭ, АДИГ.421457.012 РЭ.",Какие документы регламентируют размещение контроллеров на месте эксплуатации?
"5.5.6.1 Размещение и монтаж шкафов контроллеров

Размещение шкафов контроллеров на месте эксплуатации, монтаж и пробное включение  электропитания  выполнять  в  соответствии  с  документами -АДИГ.421457.004  РЭ, АДИГ.421457.016 РЭ, АДИГ.421457.012 РЭ.",Какие правила монтажа и подключения электропитания указаны в стандартах АДИГ?
"4.2.2 Выбор соединения

Выбор соединения инициируется из диалога Настройка соединения с сервером и состоит из двух фаз:

- -выбор адреса точки обнаружения;
- -выбор точки подключения.

Диалог выбора адреса точки обнаружения показан на рисунке 28.

2           35

Рисунок 28 -Диалоговое окно настройки соединения

<img_954>

Есть два способа указать адрес точки обнаружения:

- -ручным вводом;
- -выбором из дерева сетевого окружения.

При  ручном  вводе  задайте url подключения  к  точке  обнаружения  в  редакторе Адрес и нажмите Ok .  Если url точки  обнаружения  неизвестен,  то  его  следует  получить  у  поставщика сервера.

Выбор  из  дерева  сетевого  окружения  более  удобен,  но  требует  наличие  на  целевом компьютере службы локального обнаружения (аналог OpcEnum для классического OPC).

Выбор из дерева сетевого окружения может использоваться двумя способами:

- -Если компьютер не является членом домена или активные директории домена недоступны, выполните следующие действия:
- раскройте узел Заданные вручную ;
- найдите нужный компьютер. Если его нет, используйте локальное меню узла Заданные вручную для добавления имени компьютера;
- раскройте узел с найденным компьютером;
- если сервер оборудован службой локального обнаружения, то вы увидите список точек обнаружения. Выделите нужную и нажмите Ok .
- -Если  компьютер  является  членом  домена  и  активные  директории  домена  доступны, выполните следующие действия:
- раскройте узел Из домена ;
- найдите нужный домен и компьютер;
- раскройте узел с найденным компьютером;
- если сервер оборудован службой локального обнаружения, то вы увидите список точек обнаружения. Выделите нужную и нажмите Ok .

После выбора точки обнаружения будет показан диалог выбора соединения, показанный на рисунке 29.

2           36

Рисунок 29 -Диалоговое окно выбора соединения

<img_955>

Выпадающий список вверху приводит перечень url для  подключения к серверу. Закладки Данные  для  подключения  и  Информация  о  сервере содержат  характеристики  подключения. Некоторые из них могут быть одинаковыми для всех url подключений, некоторые -разными.

Выберите нужный url :

- -если url заранее известен, выберите его из выпадающего списка и нажмите Ok ;
- -если url заранее  неизвестен,  выделите  поочередно url в  списке  и,  основываясь  на приводимой информации о подключении, найдите нужный и нажмите Ok .

Если нужного url нет в списке, используйте кнопку рядом со списком url ,  чтобы  вызвать диалог выбора адреса точки обнаружения, и попробуйте другой, если таковой имеется.",Как можно указать адрес точки обнаружения при настройке соединения?
